practice_code,gpps_overall_pct,gpps_contact_pct,gpps_responses
C88011,71.4,67.3,33
C88014,80.5,77.5,74
C88015,73.3,65.3,142
C88016,89.7,88.2,125
C88018,87.5,91.1,83
C88019,72.0,69.1,60
C88020,74.3,69.2,55
C88021,92.6,78.6,73
C88022,92.3,91.2,50
C88023,72.8,66.3,74
C88025,81.8,77.5,78
C88026,76.8,72.2,107
C88027,79.9,74.0,37
C88028,88.9,85.6,91
C88030,84.2,75.7,71
C88031,92.2,87.5,128
C88032,76.0,73.4,45
C88034,90.3,86.5,87
C88035,75.8,72.3,76
C88036,76.3,83.5,80
C88037,69.7,60.4,101
C88038,56.3,61.7,37
C88039,81.6,73.8,74
C88040,90.0,90.5,58
C88041,85.7,73.5,112
C88043,78.8,76.0,88
C88044,94.7,90.7,53
C88045,82.5,73.2,77
C88046,75.2,72.2,52
C88047,78.2,63.2,61
C88048,80.4,73.8,61
C88049,83.6,82.1,52
C88050,80.9,71.5,31
C88051,47.9,38.4,36
C88052,83.3,86.1,93
C88053,90.8,94.4,37
C88054,75.3,75.4,62
C88059,75.0,87.9,21
C88060,77.2,70.8,38
C88062,87.3,86.6,41
C88069,61.4,54.0,93
C88070,78.4,70.3,59
C88072,68.7,53.4,86
C88073,70.3,63.1,39
C88074,83.9,77.6,45
C88076,71.3,73.6,70
C88077,73.5,72.4,56
C88078,73.7,77.9,54
C88079,77.3,73.0,67
C88082,79.2,79.1,54
C88083,88.3,92.3,24
C88084,57.8,55.5,18
C88085,80.8,76.0,77
C88086,70.4,64.1,17
C88087,89.2,84.4,82
C88088,93.4,89.8,66
C88090,81.7,70.6,66
C88091,68.1,65.0,15
C88092,85.1,77.8,88
C88095,83.5,65.3,50
C88622,78.1,85.1,23
C88627,78.4,86.1,326
C88631,84.1,77.1,13
C88647,67.5,62.1,75
C88648,93.1,89.4,70
C88652,93.5,96.3,38
C88655,77.0,74.8,9
Y05349,74.1,71.8,44
B81036,94.6,92.3,185
B82005,70.4,63.0,420
B82021,89.4,87.6,94
B82026,67.9,69.2,230
B82047,73.8,79.3,137
B82071,85.7,80.5,67
B82080,77.1,63.5,152
B82081,85.9,83.8,65
B82083,73.9,63.8,350
B82098,92.2,80.1,267
B82100,92.6,82.4,85
B87001,86.6,84.8,89
B87002,64.8,53.4,70
B87003,94.2,95.5,107
B87004,86.0,89.3,100
B87005,75.5,66.0,91
B87006,83.1,73.1,90
B87007,72.7,76.2,116
B87008,77.0,58.7,103
B87009,84.8,76.2,55
B87011,64.2,57.7,88
B87012,74.8,70.4,73
B87013,89.5,84.5,135
B87015,72.5,65.2,56
B87016,82.4,79.9,207
B87017,64.9,66.2,186
B87018,88.0,83.4,104
B87019,64.5,70.7,49
B87020,79.8,64.8,114
B87021,73.0,70.7,94
B87022,77.0,77.7,66
B87025,79.1,77.0,67
B87026,83.6,72.6,124
B87027,75.2,72.1,108
B87028,94.9,82.9,106
B87030,65.7,52.8,202
B87031,72.4,57.8,166
B87032,95.0,89.2,77
B87033,96.1,94.5,55
B87036,73.6,76.6,31
B87039,68.8,65.1,103
B87042,65.1,49.6,36
B87044,63.8,55.5,16
B87602,83.1,85.2,31
B87604,73.6,78.5,20
Y08186,,,-97
C82001,71.1,70.6,186
C82002,89.7,87.1,103
C82009,63.9,58.8,195
C82010,72.1,63.5,114
C82013,88.1,84.7,120
C82016,86.4,83.3,100
C82021,67.1,68.1,50
C82022,77.4,66.1,59
C82025,74.5,72.8,84
C82038,50.8,51.5,196
C82039,45.1,43.2,49
C82042,87.3,87.1,117
C82044,93.2,85.2,91
C82048,82.4,80.6,43
C82055,86.2,80.9,129
C82056,67.4,66.4,97
C82066,72.7,65.8,124
C82067,63.6,61.0,57
C82068,91.9,80.1,119
C82071,87.2,75.4,127
C82077,78.7,81.3,104
C82078,81.3,73.0,103
C82079,79.8,65.9,55
C82098,80.0,73.2,60
C82109,90.3,84.3,49
C82112,60.7,56.5,57
C82611,89.4,87.8,63
C82631,86.2,69.8,61
C82649,66.7,68.5,40
Y03584,,,-97
C82005,64.3,58.2,70
C82008,48.7,47.9,41
C82018,63.8,43.7,92
C82019,75.8,71.8,43
C82020,57.3,49.0,134
C82024,59.7,54.0,128
C82030,83.4,80.3,61
C82031,81.6,77.6,115
C82033,61.5,51.3,69
C82037,72.3,70.3,80
C82046,75.9,61.0,129
C82053,57.7,51.0,62
C82059,75.7,78.4,14
C82060,73.3,45.1,29
C82063,60.7,51.1,77
C82073,69.2,64.3,99
C82080,78.5,80.7,36
C82084,70.3,62.7,27
C82086,81.7,66.8,84
C82088,68.9,65.9,73
C82092,80.4,79.4,38
C82094,81.0,76.4,54
C82099,53.3,47.6,24
C82100,73.7,67.6,44
C82107,69.9,64.9,55
C82114,92.7,90.5,24
C82116,72.6,65.6,39
C82119,76.4,77.0,26
C82124,74.8,78.0,207
C82610,77.5,72.6,47
C82614,63.1,58.5,27
C82620,69.9,60.3,18
C82624,60.0,70.2,46
C82639,62.6,56.6,63
C82642,68.4,66.5,67
C82643,74.8,71.2,101
C82651,80.4,69.8,32
C82653,71.8,73.1,15
C82659,70.1,67.2,21
C82660,74.9,78.4,55
C82662,74.9,67.7,65
C82667,80.4,72.5,64
C82669,76.8,69.4,31
C82670,82.5,77.2,8
C82671,82.9,70.9,69
C82676,79.8,75.9,55
C82680,52.1,55.1,26
Y00137,47.7,40.5,149
Y00344,87.5,86.6,17
Y02469,58.3,44.4,55
Y02686,66.5,50.4,61
C82003,76.7,70.2,92
C82007,62.6,55.1,69
C82011,71.6,56.3,93
C82012,74.9,83.1,91
C82014,76.4,58.3,142
C82017,78.6,75.2,129
C82026,75.1,69.3,65
C82027,52.9,49.6,39
C82028,95.0,90.9,73
C82032,57.5,52.9,43
C82034,95.2,93.0,97
C82035,90.4,76.5,75
C82041,74.4,55.8,97
C82043,62.4,56.7,73
C82045,71.2,54.3,59
C82047,86.2,88.8,97
C82050,64.0,44.3,93
C82051,86.4,85.7,106
C82052,80.3,80.1,32
C82054,70.6,64.2,90
C82061,75.9,67.0,116
C82062,78.8,70.4,74
C82064,89.2,81.7,114
C82070,66.1,51.9,72
C82072,80.8,80.2,71
C82075,85.6,73.7,95
C82082,75.5,68.5,44
C82091,73.6,62.7,69
C82093,88.3,87.5,115
C82095,77.0,73.3,71
C82096,61.9,65.3,62
C82097,91.3,89.6,26
C82102,95.3,97.7,48
C82103,43.3,32.2,31
C82111,84.5,78.9,157
C82120,85.4,79.2,36
C82121,76.9,70.4,120
C82600,88.5,92.6,55
C82627,78.6,70.6,62
C82628,96.0,93.6,35
C82634,75.6,64.2,46
C82644,89.2,79.9,43
C82650,93.8,92.8,50
C82656,75.8,76.0,23
C82678,65.0,58.6,39
Y00252,91.8,95.1,29
M83001,87.6,77.5,108
M83016,85.9,82.0,66
M83033,80.6,68.4,58
M83048,75.7,73.6,77
M83063,90.9,87.4,36
M83107,78.8,70.8,55
M83109,85.2,92.8,35
M83129,83.4,75.7,92
M83130,85.1,82.4,36
M83139,80.1,81.4,42
M83608,81.1,82.7,46
M83616,84.3,88.5,46
M83637,79.2,77.9,39
M83638,78.9,76.7,113
M83698,92.5,92.1,30
M83703,93.9,98.1,55
M83717,80.3,68.9,30
M83719,74.2,80.7,33
M83727,79.4,78.0,35
M83738,94.6,94.6,69
Y02354,76.7,75.9,73
Y02594,85.0,77.6,24
C81018,84.6,77.6,81
M83010,84.9,76.9,87
M83013,85.4,85.4,43
M83026,51.3,50.7,84
M83027,59.2,57.9,65
M83035,88.2,81.9,69
M83037,81.9,71.1,72
M83042,85.1,83.8,89
M83051,86.7,73.0,111
M83059,98.1,98.1,39
M83065,84.3,74.1,64
M83073,80.9,76.7,76
M83074,92.6,90.6,140
M83641,83.6,83.0,17
M83680,96.0,87.5,70
M83681,71.5,71.4,76
M83718,85.2,81.9,34
Y00078,81.7,84.8,44
M83005,73.7,67.9,41
M83007,70.5,63.5,58
M83011,89.5,83.2,76
M83012,95.7,89.0,83
M83015,96.2,96.1,79
M83017,98.3,96.2,53
M83023,81.0,70.6,79
M83025,92.5,86.7,60
M83034,76.0,79.2,93
M83046,86.2,88.4,89
M83054,89.8,83.4,98
M83056,87.1,92.9,101
M83067,79.8,85.7,65
M83071,90.2,80.8,111
M83079,92.2,89.8,92
M83084,84.7,73.6,58
M83089,80.7,74.8,90
M83096,79.1,79.3,45
M83103,81.3,74.7,41
M83108,84.0,80.8,67
M83121,79.6,81.3,50
M83122,82.1,95.7,27
M83140,88.5,83.2,43
M83141,83.8,79.8,79
M83640,93.3,88.2,28
M83670,66.8,55.3,50
M83691,95.9,92.7,20
M83697,68.4,77.2,24
M83701,87.3,81.1,41
M83723,59.9,71.0,142
M83006,72.3,68.4,232
M83018,88.4,85.3,81
M83030,69.8,58.8,98
M83031,83.7,81.8,56
M83032,71.7,55.0,106
M83062,45.3,66.6,61
M83072,79.3,78.7,98
M83088,86.7,77.4,141
M83093,76.4,77.1,52
M83097,89.9,86.9,85
M83110,58.0,48.0,95
M83111,64.0,66.4,16
M83113,60.6,60.9,15
M83117,70.0,57.8,60
M83125,90.0,92.9,34
M83132,77.4,71.9,46
M83148,83.4,77.2,122
M83617,82.0,81.4,203
M83668,95.1,89.8,51
M83693,80.6,78.2,56
M83715,95.0,89.2,48
M83009,76.4,70.8,88
M83020,87.0,81.9,87
M83022,74.1,61.4,63
M83024,75.4,66.3,83
M83036,75.1,76.2,67
M83044,63.7,56.9,86
M83045,81.9,75.3,92
M83049,55.1,49.6,53
M83050,77.2,64.6,82
M83052,77.1,70.7,174
M83057,78.1,72.8,85
M83069,79.2,73.0,130
M83070,95.2,89.8,88
M83092,87.7,83.3,80
M83004,87.7,84.0,88
M83014,76.6,72.5,78
M83021,71.5,71.2,74
M83028,67.9,67.3,75
M83038,77.8,72.7,83
M83047,67.1,66.1,46
M83061,94.3,79.2,80
M83066,86.5,80.8,69
M83068,89.7,66.2,133
M83075,76.2,79.7,151
M83076,68.5,66.3,64
M83090,86.3,86.8,49
M83094,77.0,83.5,114
M83100,97.9,96.7,42
M83102,90.0,89.7,64
M83123,86.0,84.9,86
M83126,87.9,90.2,79
M83127,70.6,70.7,46
M83138,81.3,73.9,58
M83143,84.9,82.5,45
M83146,62.9,57.9,81
M83601,86.0,81.6,54
M83619,90.9,93.9,34
M83624,88.7,88.0,35
M83625,82.4,81.9,95
M83627,70.3,68.6,55
M83632,83.5,79.7,46
M83650,71.5,67.6,93
M83661,78.9,72.8,53
M83682,83.6,77.8,50
M83709,96.7,97.4,60
M83711,91.6,95.1,40
M83713,81.8,73.7,44
M83725,91.5,85.2,35
Y02521,69.8,67.7,67
Y02867,78.6,81.0,36
D81001,86.7,81.0,144
D81002,70.2,66.9,180
D81003,82.0,78.5,97
D81004,95.5,96.7,138
D81005,84.9,95.6,145
D81008,74.4,69.8,153
D81010,82.5,81.1,98
D81011,69.0,56.2,70
D81012,76.8,73.8,89
D81013,76.3,73.7,168
D81014,89.3,90.5,227
D81015,60.9,65.9,46
D81016,80.9,78.3,106
D81017,74.9,70.1,72
D81018,76.3,66.6,64
D81021,84.0,80.5,109
D81022,64.5,61.5,116
D81025,64.3,67.3,62
D81026,66.1,62.9,319
D81027,73.2,65.7,59
D81028,74.7,69.9,97
D81029,79.7,75.1,107
D81030,81.7,74.4,131
D81031,87.2,81.8,179
D81033,91.1,90.3,47
D81034,88.4,81.8,173
D81035,81.8,81.6,83
D81036,84.2,80.5,44
D81037,74.4,86.8,98
D81038,96.3,96.1,74
D81041,90.8,83.3,63
D81042,52.8,49.0,50
D81043,73.9,75.5,450
D81044,74.6,66.6,111
D81045,92.7,92.1,101
D81046,52.9,47.5,98
D81049,81.6,76.9,99
D81050,84.3,87.1,148
D81051,92.3,93.3,91
D81052,72.7,70.2,74
D81054,80.7,82.9,194
D81055,89.8,83.0,55
D81056,78.7,69.5,60
D81057,68.7,60.2,149
D81058,90.1,87.5,72
D81059,83.6,75.9,65
D81060,87.9,85.7,70
D81061,64.3,57.6,78
D81062,86.0,82.4,72
D81064,84.0,76.2,60
D81065,58.7,58.3,38
D81066,80.7,77.9,90
D81070,83.8,85.4,101
D81073,69.7,73.3,38
D81078,78.2,79.1,33
D81081,92.9,82.6,54
D81082,77.8,68.9,63
D81084,80.0,83.4,93
D81085,89.5,82.8,68
D81086,68.3,71.7,54
D81603,75.7,72.6,58
D81606,72.3,57.2,98
D81607,93.0,89.0,33
D81611,76.6,69.3,106
D81612,76.0,72.2,39
D81615,59.4,50.2,68
D81618,70.9,74.6,25
D81622,84.0,82.3,120
D81625,68.7,67.6,214
D81629,46.3,49.9,30
D81630,71.9,69.3,83
D81631,74.9,69.2,108
D81633,82.4,76.4,93
D81637,58.0,60.7,74
D81645,74.5,77.2,21
E82132,78.2,76.2,48
K83017,75.4,70.9,81
Y00056,81.1,83.0,7
Y00185,83.3,85.0,97
Y00486,49.5,44.2,36
Y02769,82.1,77.3,65
Y07025,57.2,43.3,47
Y07057,50.8,49.6,61
Y07059,56.1,54.2,108
Y07060,69.0,76.7,173
D81047,59.0,56.9,49
E82002,78.1,70.4,83
E82005,64.7,62.9,318
E82006,71.2,64.6,59
E82007,87.1,77.2,105
E82008,65.5,68.8,74
E82018,61.2,64.3,92
E82019,68.9,70.3,114
E82021,92.5,96.3,64
E82023,78.3,76.6,97
E82024,66.8,57.6,122
E82035,54.2,51.7,71
E82038,88.7,79.1,181
E82040,61.1,61.9,132
E82041,75.4,65.9,95
E82042,74.0,69.6,70
E82044,90.2,70.2,136
E82053,70.7,67.4,126
E82056,79.2,78.9,81
E82058,74.8,86.5,147
E82061,87.9,85.4,129
E82062,81.7,72.8,136
E82063,73.2,60.6,86
E82067,62.3,60.4,107
E82074,82.3,70.0,193
E82075,72.2,70.7,90
E82079,76.8,65.3,67
E82081,70.9,61.7,99
E82082,58.3,53.5,112
E82086,61.7,58.5,153
E82088,73.8,74.4,75
E82090,68.6,61.6,72
E82092,89.2,77.5,151
E82093,71.4,71.7,97
E82099,73.4,63.1,98
E82100,73.8,72.9,102
E82102,73.6,68.1,132
E82111,93.3,91.0,65
E82115,63.1,50.5,69
E82121,83.2,78.3,45
E82123,69.4,59.2,69
E82133,81.3,78.9,72
E82626,51.4,55.6,15
E82638,54.8,44.6,37
E82654,79.4,74.2,79
E82661,50.8,45.0,41
Y01924,,,-97
Y02639,60.5,55.1,54
Y06095,,,-97
D83001,62.0,71.6,74
D83004,79.7,74.8,85
D83006,95.1,92.3,76
D83008,67.8,65.8,114
D83015,79.7,79.4,74
D83017,55.0,47.4,80
D83019,86.3,89.1,73
D83020,81.0,79.3,68
D83024,85.6,79.3,125
D83026,69.3,64.5,67
D83028,83.6,75.8,83
D83037,90.0,86.2,153
D83041,87.5,88.6,93
D83043,72.8,70.0,49
D83044,93.0,93.1,222
D83046,81.6,72.5,249
D83048,92.5,87.6,175
D83049,96.9,92.6,69
D83050,66.3,54.3,191
D83051,82.1,81.1,162
D83053,80.1,79.3,80
D83054,89.4,85.7,67
D83056,76.0,75.3,81
D83057,92.6,86.8,137
D83059,82.4,78.8,173
D83061,90.7,88.7,96
D83069,96.1,96.1,66
D83073,80.6,81.5,48
D83074,88.8,84.2,129
D83079,73.4,74.3,73
D83080,89.4,80.7,56
D83081,94.7,88.3,83
D83084,70.2,72.8,47
Y01794,73.8,62.8,111
Y06499,41.4,38.9,1
E82001,93.8,88.1,422
E82004,57.2,61.4,29
E82009,66.8,59.2,153
E82012,81.3,80.6,117
E82013,91.0,87.5,323
E82014,84.6,75.6,168
E82015,68.5,65.9,62
E82017,78.0,73.3,101
E82020,73.2,78.0,50
E82022,87.4,83.3,162
E82027,72.6,66.4,96
E82031,81.0,83.7,161
E82032,71.7,63.2,111
E82037,79.9,78.4,124
E82043,78.0,75.6,121
E82045,71.0,62.1,140
E82046,81.7,77.3,91
E82050,85.9,78.4,45
E82051,71.0,61.7,102
E82055,79.4,71.7,108
E82059,94.3,90.0,101
E82060,84.8,74.4,184
E82066,91.4,93.8,36
E82068,67.9,58.8,137
E82069,83.2,87.3,73
E82070,58.1,49.0,19
E82071,78.0,80.1,131
E82073,79.5,82.6,378
E82077,85.5,81.0,108
E82078,77.0,60.9,79
E82083,91.0,88.4,94
E82084,80.5,75.5,110
E82085,80.9,82.7,156
E82091,41.8,32.5,70
E82094,84.3,86.6,105
E82096,74.6,79.1,80
E82098,83.5,75.7,67
E82105,84.8,82.2,42
E82106,79.4,68.1,114
E82107,71.9,68.9,76
E82113,87.5,85.7,63
E82117,76.0,80.9,95
E82124,81.9,83.0,278
E82129,82.5,80.4,132
E82643,81.5,90.1,24
E82652,82.3,79.3,26
E82655,82.2,70.6,34
E82657,91.2,87.3,60
F81011,76.7,63.0,63
F81014,58.4,49.5,70
F81020,91.4,95.4,80
F81022,70.0,67.1,116
F81030,67.9,64.5,118
F81040,90.8,89.3,46
F81057,90.3,89.1,137
F81068,78.8,74.9,137
F81071,67.8,66.6,100
F81076,76.0,74.1,38
F81083,77.0,73.5,95
F81087,64.0,68.7,92
F81098,66.0,59.4,56
F81099,67.6,70.3,90
F81100,50.0,40.5,124
F81105,84.8,70.0,179
F81114,84.4,85.5,122
F81117,48.6,42.3,49
F81119,75.5,66.4,65
F81122,75.2,68.9,246
F81126,81.5,74.6,85
F81130,91.2,90.7,58
F81132,68.9,65.1,121
F81149,78.3,69.7,92
F81170,74.8,71.0,107
F81173,60.3,67.8,37
F81183,82.8,84.9,52
F81193,60.1,58.1,42
F81635,46.9,48.8,11
F81665,65.8,72.2,34
F81674,83.1,79.1,97
F81683,87.2,79.0,94
F81730,93.8,89.2,68
F81751,79.0,72.2,34
Y00293,82.7,72.5,80
Y02611,86.1,85.4,130
Y05023,42.4,37.7,21
F81012,90.9,86.7,74
F81017,70.6,69.9,63
F81019,66.4,65.7,120
F81021,87.6,83.7,109
F81026,84.1,71.5,81
F81028,73.3,68.4,69
F81037,85.9,75.6,76
F81042,87.5,83.6,369
F81044,77.5,74.7,61
F81052,95.6,90.7,155
F81067,66.3,65.7,97
F81069,76.2,76.8,65
F81091,83.0,80.6,81
F81095,65.8,63.7,139
F81115,74.3,67.3,212
F81116,86.2,70.6,100
F81133,80.9,70.9,102
F81141,66.2,67.2,121
F81156,73.3,70.5,69
F81212,57.1,51.0,56
F81213,75.9,68.0,60
F81221,71.5,69.8,38
F81606,80.4,81.9,25
F81633,91.2,86.8,46
F81636,84.3,72.7,148
F81679,69.9,70.0,54
F81681,76.6,73.7,132
F81716,64.0,57.7,63
F81741,60.3,53.3,70
F81746,77.4,88.5,27
F81757,68.6,68.8,47
Y02646,75.4,74.7,74
F81010,49.4,42.8,61
F81082,51.6,53.5,23
F81088,92.5,77.5,24
F81110,66.2,66.4,76
F81113,65.5,62.1,93
F81134,51.4,51.6,39
F81137,73.2,67.8,56
F81153,79.1,71.1,105
F81155,68.8,59.0,38
F81177,76.6,68.2,33
F81192,83.2,72.0,87
F81197,70.8,62.8,19
F81198,80.7,76.0,22
F81206,80.7,72.9,43
F81211,92.8,90.5,48
F81219,92.7,90.0,51
F81623,71.6,60.7,17
F81632,82.5,82.1,46
F81641,70.2,79.0,53
F81652,77.2,83.6,40
F81669,64.5,62.3,42
F81697,92.7,97.5,27
F81708,73.4,71.6,83
Y00033,66.2,63.8,42
Y00999,75.0,76.8,82
Y02807,67.9,61.1,80
F81004,71.7,66.6,70
F81009,80.3,78.1,92
F81015,85.1,81.0,110
F81027,56.7,54.4,117
F81034,76.8,70.8,77
F81043,49.1,38.4,94
F81047,76.8,75.0,85
F81048,54.8,49.9,58
F81049,72.4,69.0,96
F81053,84.5,87.8,176
F81056,89.5,86.0,107
F81062,68.1,64.9,61
F81072,81.1,65.5,68
F81078,56.2,55.0,65
F81090,84.3,80.1,99
F81106,70.2,62.0,75
F81118,64.8,55.8,94
F81120,48.2,39.2,62
F81131,97.3,92.4,93
F81136,69.3,73.4,102
F81152,76.4,59.6,91
F81165,89.0,89.2,42
F81169,89.2,87.9,73
F81181,44.6,44.6,102
F81184,78.7,77.5,35
F81216,88.9,90.3,40
F81619,83.3,77.7,33
F81725,90.1,83.3,88
F81749,86.7,82.2,127
Y07016,,,-97
D83003,86.0,84.4,47
D83005,69.9,70.5,107
D83007,90.8,85.3,91
D83012,67.4,72.2,170
D83013,86.1,76.7,124
D83018,81.2,69.0,106
D83021,80.0,78.1,161
D83027,83.4,72.9,100
D83029,93.7,93.3,142
D83033,87.7,86.3,96
D83038,70.9,68.9,116
D83040,92.5,89.7,109
D83045,77.2,78.2,45
D83055,70.7,71.2,118
D83060,79.0,68.2,199
D83062,85.9,70.8,68
D83064,67.0,71.9,26
D83067,88.4,93.4,74
D83070,86.0,79.3,47
D83075,87.4,84.3,117
D83076,81.0,84.2,48
D83078,80.7,81.5,79
D83610,79.0,77.3,106
Y00774,84.9,86.1,46
G81001,82.4,74.9,76
G81006,91.7,92.4,65
G81011,74.9,66.4,152
G81014,94.2,81.1,79
G81018,73.4,69.2,97
G81028,60.9,60.4,79
G81034,89.6,87.3,303
G81036,90.2,84.6,86
G81038,82.3,84.5,162
G81042,86.8,79.1,121
G81044,90.7,85.6,71
G81046,83.4,82.3,96
G81047,91.9,86.2,72
G81054,90.6,96.8,106
G81065,71.7,58.9,65
G81070,93.2,89.2,251
G81071,69.8,77.8,143
G81073,76.0,64.9,67
G81075,59.3,42.0,37
G81076,74.2,67.7,103
G81083,72.6,73.5,55
G81613,68.0,72.3,37
G81638,67.9,62.8,185
G81646,90.9,90.9,25
G81656,80.4,84.4,51
G81663,81.9,86.6,43
G81669,85.3,67.6,20
G81689,100.0,97.2,15
G81694,90.1,87.2,31
Y02676,70.5,73.8,75
Y06007,83.1,87.2,71
K84001,88.9,94.2,99
K84002,70.7,64.9,139
K84003,91.5,90.5,67
K84004,78.0,72.2,109
K84006,79.6,77.6,134
K84007,72.8,68.7,64
K84008,89.8,81.4,74
K84009,78.8,69.1,232
K84010,68.4,61.1,64
K84011,84.7,85.5,171
K84013,71.1,76.1,225
K84014,93.0,94.9,110
K84015,86.7,91.4,37
K84016,79.2,85.4,204
K84017,80.9,76.6,178
K84019,73.5,65.6,120
K84020,90.7,92.2,94
K84021,89.5,89.7,98
K84023,98.5,98.9,64
K84024,65.5,72.5,60
K84026,83.7,94.5,115
K84027,84.2,75.6,134
K84028,68.3,59.6,295
K84030,76.6,71.0,125
K84031,79.3,69.1,99
K84032,79.0,74.9,80
K84033,86.3,66.4,173
K84034,79.3,79.9,28
K84035,94.2,92.0,109
K84036,98.2,92.2,58
K84037,91.9,88.1,179
K84038,70.8,70.0,118
K84041,75.0,66.4,112
K84042,86.0,81.7,88
K84043,63.0,61.5,114
K84044,94.2,86.0,244
K84045,81.6,85.6,63
K84046,97.6,96.5,63
K84047,89.3,90.1,72
K84050,90.4,85.6,127
K84051,80.4,76.5,158
K84052,87.0,82.6,176
K84054,90.1,87.9,176
K84055,85.6,65.3,106
K84056,98.0,95.1,53
K84058,89.0,87.4,75
K84059,82.0,73.6,104
K84060,69.5,80.1,48
K84062,79.5,76.7,79
K84063,72.8,77.8,91
K84065,96.1,98.5,34
K84066,72.8,66.0,3
K84071,68.4,60.4,75
K84072,70.2,67.8,88
K84075,78.1,68.6,90
K84078,87.2,94.6,115
K84079,71.0,70.9,64
K84080,89.0,86.6,137
K84082,60.7,52.1,81
K84605,83.1,87.8,64
K84610,74.1,77.6,42
K84613,83.5,73.6,180
K84618,81.9,82.5,72
K84624,66.0,61.4,69
J82028,72.8,64.1,215
J82055,71.8,63.4,86
J82060,46.6,31.6,60
J82073,76.4,69.4,76
J82085,73.3,57.9,271
J82102,72.1,78.7,176
J82149,77.5,72.8,131
J82155,61.3,55.6,385
J82194,69.4,57.3,99
J82199,70.9,74.3,145
Y02526,,,-97
J81002,89.9,80.8,87
J81006,71.1,67.0,290
J81009,74.6,70.7,97
J81010,79.5,73.7,93
J81011,79.7,62.4,70
J81012,70.2,66.1,432
J81013,89.9,89.4,113
J81014,73.4,71.2,168
J81016,86.6,86.1,80
J81017,96.1,97.0,46
J81018,81.1,89.8,100
J81019,73.3,72.1,181
J81020,91.2,90.5,37
J81021,70.8,72.8,199
J81022,75.8,76.2,46
J81025,81.3,72.6,51
J81027,89.4,90.4,260
J81028,80.3,68.9,132
J81029,88.4,84.5,52
J81030,83.7,81.4,70
J81033,69.6,71.3,183
J81034,81.1,76.7,152
J81035,99.1,98.2,51
J81036,82.3,70.3,80
J81039,84.5,84.2,86
J81041,93.6,86.2,204
J81042,61.2,58.8,58
J81045,71.2,68.0,79
J81046,90.4,93.2,125
J81047,78.8,75.8,100
J81049,85.1,78.9,91
J81051,52.6,50.5,69
J81053,91.4,89.0,41
J81056,77.9,74.2,135
J81057,82.6,85.5,52
J81058,91.3,84.4,127
J81059,94.5,90.4,88
J81061,90.7,87.6,77
J81062,93.5,87.0,109
J81064,82.9,71.6,46
J81066,93.0,92.8,106
J81067,91.3,72.1,57
J81068,72.9,79.8,50
J81070,69.0,73.1,81
J81072,67.5,66.9,124
J81073,93.7,85.9,170
J81074,84.4,74.4,46
J81075,73.3,66.2,65
J81076,64.5,60.6,170
J81077,86.8,92.6,72
J81078,92.2,87.2,124
J81081,76.0,78.1,107
J81082,92.9,92.0,80
J81086,83.5,82.2,67
J81087,88.5,87.7,95
J81609,96.1,90.1,102
J81612,97.1,94.6,34
J81616,96.7,96.1,45
J81620,87.3,80.2,248
J81621,92.5,89.4,83
J81625,73.4,67.7,110
J81626,93.7,95.4,51
J81631,80.4,71.2,18
J81633,82.0,71.2,57
J81634,76.8,75.6,116
J81646,80.9,78.9,55
J81647,85.4,77.9,83
J81648,90.8,81.5,54
L84003,94.1,91.1,112
L84004,94.7,83.3,79
L84005,89.5,96.0,79
L84006,91.4,89.4,66
L84007,88.8,82.3,113
L84008,92.8,88.6,116
L84009,75.8,68.0,149
L84010,76.4,74.7,90
L84011,68.5,68.1,58
L84012,80.0,78.7,205
L84014,72.2,76.6,69
L84015,69.3,66.1,78
L84016,95.9,96.7,69
L84018,78.7,75.2,107
L84021,92.8,91.3,85
L84022,78.0,74.0,64
L84023,91.8,86.6,128
L84024,93.6,93.6,38
L84025,84.5,78.3,41
L84026,75.1,67.4,248
L84027,85.5,82.1,161
L84028,72.2,54.2,89
L84029,81.5,81.4,29
L84030,90.8,82.7,165
L84031,87.6,85.0,54
L84033,85.8,81.2,171
L84034,77.9,65.7,97
L84036,72.5,67.8,82
L84037,78.2,75.3,98
L84038,85.7,81.2,102
L84039,95.8,88.6,91
L84040,60.9,58.6,79
L84041,86.2,79.0,115
L84043,73.8,80.6,39
L84045,84.0,80.0,64
L84046,72.1,65.3,45
L84047,77.8,60.5,128
L84048,76.7,47.3,82
L84049,83.4,78.2,73
L84050,70.6,66.9,277
L84051,80.1,80.0,81
L84052,75.6,72.3,79
L84053,66.8,64.0,53
L84054,86.4,84.9,124
L84058,83.3,76.0,81
L84059,77.6,79.0,66
L84060,90.2,87.3,104
L84063,94.1,94.1,48
L84065,90.8,89.1,86
L84067,81.1,78.4,81
L84068,95.1,93.5,56
L84072,93.2,90.1,51
L84075,82.9,86.5,81
L84077,77.3,67.7,118
L84080,82.7,77.8,99
L84081,69.3,68.9,31
L84084,85.3,66.7,94
L84085,88.5,86.6,35
L84606,73.4,67.4,93
L84613,94.3,92.7,34
L84617,88.6,86.0,64
Y00054,,,-97
Y02519,68.5,74.0,66
Y05212,86.8,89.9,49
L82001,84.4,86.0,165
L82003,83.5,80.3,78
L82004,76.7,68.4,65
L82006,89.9,82.8,199
L82007,69.9,65.2,49
L82008,79.5,80.7,88
L82010,63.5,59.1,155
L82011,88.9,83.4,57
L82012,80.5,75.5,148
L82013,84.8,86.1,71
L82015,95.0,91.0,69
